,Name,College,Major,High_School,High_School_Location,Extracurriculars,Volunteering,Awards,Email
0,Alice Johnson,MIT,Computer Science,Phillips Exeter Academy,Exeter NH,"Robotics Club (President), Computer Science Club, Chess Team",Taught coding to middle school students at a local community center,"National Merit Scholar, First place in State Robotics Competition",alicejohnson@mit.edu
1,Ben Lee,UCLA,Mathematics,Los Angeles High School for the Arts,Los Angeles CA,"Math Olympiad Team (Captain), Debate Club, Jazz Band",Tutor at local math tutoring center,"AMC 12 Honor Roll, California State Debate Finalist",benlee@ucla.edu
2,Cara Patel,Stanford University,Biology,Palo Alto High School,Palo Alto CA,"Biology Club (Vice President), Swim Team, Yearbook Committee","Habitat for Humanity, Animal Shelter Volunteer","AP Scholar with Distinction, Regional Science Fair Winner",carapatel@stanforduniversity.edu
3,David Smith,Harvard University,Political Science,Boston Latin School,Boston MA,"Model UN (Secretary-General), Newspaper Editor",Soup Kitchen Volunteer,"National Debate Champion, AP Scholar",davidsmith@harvarduniversity.edu
4,Evelyn Garcia,MIT,Mathematics,Stuyvesant High School,New York NY,"Math Team (Co-President), Science Olympiad, Chess Club",Math Tutor at local library,"Intel ISEF Finalist, Math Olympiad Silver Medalist",evelyngarcia@mit.edu
5,Frank Chen,UCLA,Biology,Torrance High School,Torrance CA,"Biology Club (President), Swim Team","Red Cross Volunteer, Beach Clean-up Organizer","AP Scholar with Honor, State Science Fair Winner",frankchen@ucla.edu
6,Grace Kim,Stanford University,Computer Science,Gunn High School,Palo Alto CA,"Coding Club (President), Robotics Team, Choir",Code for Good Hackathon Mentor,"Google Code-In Finalist, National Merit Scholar",gracekim@stanforduniversity.edu
7,Hannah Brown,Harvard University,Mathematics,Harvard-Westlake School,Los Angeles CA,"Math Team (President), Debate Club, Orchestra",Math Tutor at local community center,"AMC 10 Honor Roll, Harvard Book Award",hannahbrown@harvarduniversity.edu
8,Ian Gonzalez,MIT,Political Science,Lexington High School,Lexington MA,"Model UN (President), Student Council, Soccer Team",Youth Advocacy Volunteer,"National History Day State Champion, AP Scholar",iangonzalez@mit.edu
9,Julia Liu,UCLA,Computer Science,San Marino High School,San Marino CA,"Robotics Club (Vice President), Computer Science Club, Art Club",Volunteered at local senior center,"National AP Scholar, National Robotics Competition Finalist",julialiu@ucla.edu
10,Kevin Adams,Stanford University,Biology,Menlo School,Atherton CA,"Biology Olympiad Team, Water Polo Team, Creative Writing Club","Hospital Volunteer, Environmental Activist","AP Scholar with Distinction, National Biology Olympiad Qualifier",kevinadams@stanforduniversity.edu
11,Lila Singh,Harvard University,Mathematics,Newton North High School,Newton MA,"Math Club (President), Debate Club, Drama Club",Tutored math at Boys & Girls Club,"AMC 12 Top Scorer, Massachusetts State Debate Champion",lilasingh@harvarduniversity.edu
12,Max Perez,MIT,Computer Science,Bronx Science,Bronx NY,"Programming Club (President), Chess Club, Track Team",Taught coding at local elementary school,"Regeneron STS Finalist, USACO Gold Division",maxperez@mit.edu
13,Nina Davis,UCLA,Political Science,Santa Monica High School,Santa Monica CA,"Model UN (Vice President), Speech & Debate, Drama Club",Local campaign volunteer,"National Debate Tournament Semifinalist, AP Scholar",ninadavis@ucla.edu
14,Oliver Zhang,Stanford University,Mathematics,Lynbrook High School,San Jose CA,"Math Team (Co-Captain), Robotics Club, Orchestra",Math Circle Volunteer,"AMC 10 Honor Roll, National MathCounts Qualifier",oliverzhang@stanforduniversity.edu
15,Priya Rao,Harvard University,Biology,Boston Latin Academy,Boston MA,"Science Club (President), Soccer Team, Peer Mentor",Hospital Volunteer,"Siemens Competition Semifinalist, AP Scholar with Honor",priyarao@harvarduniversity.edu
16,Quentin Morris,MIT,Mathematics,Exeter Academy,Exeter NH,"Math Club (President), Science Bowl, Lacrosse Team",Math Tutor at local high school,"Intel STS Finalist, National Merit Scholar",quentinmorris@mit.edu
17,Rachel Green,UCLA,Biology,Beverly Hills High School,Beverly Hills CA,"Biology Club (President), Swim Team, Photography Club",Animal Shelter Volunteer,"AP Scholar with Distinction, Regional Science Fair Winner",rachelgreen@ucla.edu
18,Sam Patel,Stanford University,Political Science,Palo Alto High School,Palo Alto CA,"Model UN (Secretary-General), Debate Club, Yearbook Committee",Food Bank Volunteer,"National History Day State Champion, National Debate Tournament Finalist",sampatel@stanforduniversity.edu
19,Tina Williams,Harvard University,Computer Science,Brookline High School,Brookline MA,"Robotics Club (Co-President), Coding Club, Dance Team",Taught programming at local community center,"Google Code-In Winner, National AP Scholar",tinawilliams@harvarduniversity.edu
20,Uma Nair,MIT,Biology,Wellesley High School,Wellesley MA,"Science Olympiad (Captain), Tennis Team, Art Club",Hospital Volunteer,"ISEF Finalist, AP Scholar with Honor",umanair@mit.edu
21,Victor Liu,UCLA,Computer Science,Crescenta Valley High School,La Crescenta CA,"Coding Club (President), Robotics Team, Chess Club",Code for America Volunteer,"National Merit Scholar, State Robotics Competition Winner",victorliu@ucla.edu
22,Wendy Chen,Stanford University,Mathematics,Saratoga High School,Saratoga CA,"Math Club (President), Science Bowl, Orchestra",Tutored math at local middle school,"AMC 12 Top Scorer, USAMO Qualifier",wendychen@stanforduniversity.edu
23,Xander Thompson,Harvard University,Political Science,Boston Latin School,Boston MA,"Model UN (President), Newspaper Editor, Track Team",Youth Advocacy Volunteer,"National History Day State Champion, National Debate Semifinalist",xanderthompson@harvarduniversity.edu
24,Yara Smith,MIT,Computer Science,Lakeside School,Seattle WA,"Programming Club (President), Science Olympiad, Choir",Taught coding to middle school students,"Intel ISEF Semifinalist, USACO Platinum Division",yarasmith@mit.edu
25,Zane Cooper,UCLA,Biology,El Segundo High School,El Segundo CA,"Biology Club (President), Basketball Team, Yearbook Committee",Hospital Volunteer,"AP Scholar with Distinction, State Science Fair Winner",zanecooper@ucla.edu
26,Abby Flores,Stanford University,Mathematics,Gunn High School,Palo Alto CA,"Math Olympiad (Vice President), Robotics Club, Art Club",Math Tutor at local library,"AMC 12 Honor Roll, USAMO Qualifier",abbyflores@stanforduniversity.edu
27,Bryce Nelson,Harvard University,Computer Science,Phillips Andover Academy,Andover MA,"Robotics Club (President), Coding Club, Tennis Team",Volunteered at local community center,"Google Code-In Finalist, National Merit Scholar",brycenelson@harvarduniversity.edu
28,Chloe Adams,MIT,Biology,Ridgewood High School,Ridgewood NJ,"Science Olympiad (Captain), Track Team, Yearbook Editor",Red Cross Volunteer,"ISEF Finalist, AP Scholar with Honor",chloeadams@mit.edu
29,Derek Lin,UCLA,Political Science,Torrance High School,Torrance CA,"Debate Club (President), Model UN, Newspaper Editor",Local campaign volunteer,"State Debate Champion, AP Scholar with Distinction",dereklin@ucla.edu
30,Emma Wang,Stanford University,Computer Science,Mission San Jose High School,Fremont CA,"Robotics Club (Co-President), Math Club, Drama Club",Code for Good Hackathon Mentor,"Google Code-In Winner, National Merit Scholar",emmawang@stanforduniversity.edu
31,Aaron Miller,MIT,Computer Science,Lexington High School,Lexington MA,"Coding Club (President), Math Olympiad, Soccer Team",Tutored coding to middle school students,"Regeneron STS Semifinalist, USACO Silver Division",aaronmiller@mit.edu
